length,width,height,lw,ww,dw,sw,sfdw,afdw
22.71,11.69,11.4,1.3264,0.9931,0.5844,0.5325,0.0491,0.5087
25.46,13.12,12.03,1.7744,1.2901,0.7464,0.6889,0.0577,0.657
9.05,3.88,4.53,0.0801,0.0628,0.0343,0.0292,0.0036,0.0294
16.06,9,7.48,0.493,0.3369,0.2037,0.1876,0.0159,0.1786
5.24,2.16,2.67,0.0284,0.0231,0.0126,0.0125,0.0001,0.0107
11.31,5.49,6.02,0.1639,0.1081,0.0601,0.0544,0.0051,0.053
5.03,1.91,2.4,0.0166,0.0132,0.0063,0.0058,0.0005,0.0058
23.24,12.46,10.19,1.2146,0.8267,0.4807,0.4448,0.0363,0.4222
17.56,10.35,9.08,0.7884,0.5341,0.3186,0.2971,0.0216,0.2817
14.42,7.2,6.95,0.2788,0.2048,0.1,0.1209,0.009,0.1163
10.3,4.95,5.38,0.1194,0.089,0.054,0.0487,0.0051,0.0468
22.05,11.64,9.84,1.3834,0.9382,0.5828,0.5466,0.0361,0.5218
13.45,6.2,6.69,0.2497,0.2096,0.0987,0.0858,0.0131,0.0837
11.35,5.35,5.59,0.173,0.1345,0.0696,0.0606,0.0093,0.0597
9.73,4.17,4.6,0.0869,0.0727,0.0373,0.0316,0.0058,0.0327
20.65,11.35,10.02,1.0521,0.6839,0.3847,0.3562,0.0288,0.3347
17.98,8.08,7.55,0.5374,0.3782,0.213,0.1949,0.019,0.1846
22.97,11.6,10.29,1.3231,0.9034,0.5421,0.4963,0.0462,0.4705
6.21,2.84,3.24,0.0304,0.0219,0.0136,0.0116,0.0019,0.0439
10.71,4.56,5.41,0.1412,0.1144,0.0603,0.0553,0.0051,0.1153
23.42,12.22,11.79,1.3254,0.835,0.5278,0.4874,0.0406,0.4466
13.28,6.79,6.88,0.2909,0.2061,0.1166,0.1073,0.009,0.0032
8.83,4.03,4.63,0.0789,0.0632,0.0294,0.026,0.0036,0.0244
22.98,11.45,12.38,1.4706,0.9545,0.6227,0.5776,0.0453,0.5309
11.59,6.2,6.01,0.1919,0.153,0.0806,0.0758,0.0046,0.0696
25.12,13.07,11.25,1.7824,1.186,0.8469,0.8129,0.0355,0.7777
10.87,5.27,4.74,0.1462,0.0979,0.0685,0.0638,0.005,0.0612
22.44,10.95,12.39,1.4161,1.0407,0.663,0.6205,0.0439,0.5954
5.82,2.38,2.73,0.0229,0.0152,0.01,0.0092,0.001,0.0084
23.44,11.6,10.43,1.3719,0.9581,0.6172,0.5784,0.0387,0.5566
4.17,1.55,2.03,0.008,0.0042,0.0029,0.0029,0.0001,0.0024
25.39,12.65,11.35,1.7472,1.2046,0.8355,0.7873,0.049,0.7605
5.64,2.22,2.79,0.0173,0.0119,0.0082,0.0068,0.0014,0.0061
24.15,13.42,12.95,1.5931,0.9102,0.6904,0.6754,0.0151,0.6469
13.75,7.54,8.12,0.3827,0.2934,0.1793,0.164,0.0152,0.1548
24.38,12.53,11.59,1.4628,1.0002,0.7166,0.6669,0.0498,0.643
4.31,1.68,2.18,0.0107,0.0059,0.0051,0.005,0.0001,0.0086
18.56,8.97,9.1,0.5685,0.4175,0.266,0.2353,0.0212,0.2214
