year,depth,transect,replicate,number,biomass,species_level,phylum_order,area,totalsample_count,density_m2,yearly_temp_avg
2017,1,A,2,80,0.0286,Hyalella spp.,Amphipoda,0.107,NA,NA,16.00675159235669
2017,1,A,2,9,0.049,Oecetis spp.,Trichoptera,0.107,NA,NA,16.00675159235669
2017,1,A,2,4,0.0257,Helobdella stagnalis,Hirudinea,0.107,NA,NA,16.00675159235669
2017,1,A,2,4,0.0242,Helobdella elongata,Hirudinea,0.107,NA,NA,16.00675159235669
2017,1,A,2,11,0.0205,Gyraulus spp.,Gastropoda,0.107,NA,NA,16.00675159235669
2017,1,A,2,1,0.0017,Physa spp.,Gastropoda,0.107,NA,NA,16.00675159235669
2017,1,A,2,5,0.0112,Valvata tricarinata,Gastropoda,0.107,NA,NA,16.00675159235669
2017,1,A,2,10,0.002,Unknown Trombidiformes,Trombidiformes,0.107,NA,NA,16.00675159235669
2017,1,A,2,1,5e-5,Caecidotea spp.,Isopoda,0.107,NA,NA,16.00675159235669
2017,1,A,2,1,4e-4,Unknown Tricladida,Platyhelminthes,0.107,NA,NA,16.00675159235669
2017,1,A,2,2,0.0022,Stenelmis spp.,Coleoptera,0.107,NA,NA,16.00675159235669
2017,1,A,2,4,0.0042,Dubiraphia spp.,Coleoptera,0.107,NA,NA,16.00675159235669
2017,1,A,2,1,0.0138,Sialis spp.,Megaloptera,0.107,NA,NA,16.00675159235669
2017,1,A,2,3,6e-4,Chironomus spp.,Diptera,0.107,NA,NA,16.00675159235669
2017,1,A,2,23,0.0117,Caenis spp.,Ephemeroptera,0.107,NA,NA,16.00675159235669
2017,1,A,2,8,6e-4,Unknown Tubificinae,Oligochaeta,0.107,NA,NA,16.00675159235669
2017,10,C,3,1,5e-4,Chironomus spp.,Diptera,0.107,NA,NA,16.00675159235669
2017,10,C,3,1,0.0019,Procladius spp.,Diptera,0.107,NA,NA,16.00675159235669
2017,10,C,3,2,4e-4,Hyalella spp.,Amphipoda,0.107,NA,NA,16.00675159235669
2017,10,C,3,1,1e-4,Unknown Tubificinae,Oligochaeta,0.107,NA,NA,16.00675159235669
2017,10,C,1,2,7e-4,Chironomus spp.,Diptera,0.107,NA,NA,16.00675159235669
2017,10,C,1,1,4e-4,Procladius spp.,Diptera,0.107,NA,NA,16.00675159235669
2017,8,B,1,3,0.028,Chironomus spp.,Diptera,0.107,NA,NA,16.00675159235669
